Year,Tbill_rate,Tax_rev,Debt_stock,Debt_serv,Exch_rate,,,,,,
1999,11.83,151623,174305,31743,70.323,,,,,,
2000,10.76,152444,206127,22068,76.176,,,,,,
2001,12.62,163171,211813,23231,78.564,,,,,,
2002,7.34,160394,235991,23744,78.73,,,,,,
2003,3,176999,289377,27567,75.937,,,,,,
2004,2.34,201544,306235,23281,79.133,,,,,,
2005,7.88,242927,315573,23375,75.55,,,,,,
2006,6.32,255980,357839,31445,72,,,,,,
2007,6.797,305040,404690,36860,67.319,,,,,,
2008,7.854,363621,430612,42181,69.185,,,,,,
2009,7.332,417354,518507,45949,77.351,,,,,,
2010,2.998,479568,660268,57381,79.233,,,,,,
2011,8.96,557171,764222,70497,88.811,,,,,,
2012,10.09,626445,853830,82339,84.528,,,,,,
2013,6.96,739894.32,1050555,110184,86.123,,,,,,
2014,9.9,851804.13,1284327,119200,87.923,,,,,,
2015,8.3,997225.43,1420444,278618,98.182,,,,,,
2016,7.06,1111984.62,1815133,349010,101.504,,,,,,   
2017,8.3,1253462.72,2112710,367587,103.417,,,,,,
2018,7.733,1311692.29,2478835,377870,101.572,,,,,,
2019,6.814,1440212.729,2785937,481593,101.991,,,,,,
2020,6.7,1427507.569,3177527,428033,106.45,,,,,,
2021,6.7,1484759.686,3697093,546038,109.637,,,,,,
2022,7.9,1837221.167,4329099,612112,117.865,,,,,,
2023,11.8,1960429.238,4832318,797071,139.848,,,,,,
2024,16,2160284.879,5408751,807360,135.34,,,,,,
